# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9640
#@/user_id	71976ba1-830a-45d3-bed3-0cdf4d8efa78
bu ke neng 	不可能	c=1 d=1 t=1057
bu liao 	不了	c=2 d=1.01419 t=2390
bu liao 	不聊	c=1 d=1 t=9455
bu man 	不滿	c=1 d=1 t=6408
bu ming 	不明	c=1 d=1 t=6201
bu neng 	不能	c=7 d=2.13297 t=9427
bu qie 	不切	c=1 d=1 t=8013
bu qing 	不清	c=1 d=1 t=2374
bu ran 	不然	c=1 d=1 t=1069
bu rang 	不讓	c=1 d=1 t=2462
bu shi 	不是	c=25 d=1.95869 t=8197
bu shou 	不受	c=1 d=1 t=6328
bu shu 	部署	c=1 d=1 t=3741
bu tong 	不同	c=2 d=1.00073 t=5774
bu xiang 	不想	c=1 d=1 t=9264
bu xiao 	不小	c=1 d=1 t=9080
bu xin 	不信	c=1 d=1 t=5595
bu xu yao 	不需要	c=1 d=1 t=8984
bu xue 	不學	c=1 d=1 t=6316
bu yan 	不言	c=1 d=1 t=6569
bu yao 	不要	c=4 d=1.37015 t=8779
bu yi yang 	不一樣	c=1 d=1 t=1678
bu yong 	不用	c=8 d=1 t=9474
bu yuan 	不遠	c=1 d=1 t=5196
bu zai 	不再	c=2 d=1 t=9605
bu zai 	不在	c=4 d=1.37839 t=8991
bu zhi dao 	不知道	c=3 d=1 t=8396
cai 	才	c=10 d=1.00434 t=9310
cai 	菜	c=3 d=1 t=9207
cai 	財	c=1 d=1 t=78
cai hui 	才會	c=2 d=1.97045 t=3629
cai kuang 	採礦	c=1 d=1 t=5917
cai neng 	才能	c=2 d=1.0002 t=5477
cai se 	彩色	c=1 d=1 t=8774
cai shi 	才是	c=1 d=1 t=8773
cai wu 	財務	c=14 d=1.99526 t=7198
cai yong 	採用	c=1 d=1 t=3946
can guan 	餐館	c=2 d=1.74082 t=9152
can jia 	參加	c=1 d=1 t=6405
can kao 	參考	c=2 d=1.00081 t=8174
can ting 	餐廳	c=1 d=1 t=9133
can yin 	餐飲	c=1 d=1 t=5788
cang 	藏	c=1 d=1 t=334
cang ku 	倉庫	c=5 d=1 t=8761
cang ni 	藏匿	c=1 d=1 t=336
cao 	草	c=1 d=1 t=1118
cao zuo 	操作	c=1 d=1 t=5396
ce hui 	測繪	c=1 d=1 t=5707
ce shi 	測試	c=1 d=1 t=4121
ceng 	層	c=3 d=2.65516 t=7748
cha 	插	c=2 d=1.88692 t=2781
cha 	查	c=2 d=1.71892 t=2573
cha bu duo 	差不多	c=3 d=1 t=7777
cha kan 	查看	c=2 d=1.00008 t=4101
cha ru 	插入	c=1 d=1 t=6742
cha xia 	查下	c=1 d=1 t=2080
chan 	產	c=6 d=2.78148 t=6401
chan liang 	產量	c=1 d=1 t=911
chang 	常	c=4 d=2.95064 t=8651
chang 	廠	c=2 d=1.66034 t=7880
chang 	長	c=3 d=1.99501 t=8934
chang du 	長度	c=1 d=1 t=3835
chang jing 	場景	c=1 d=1 t=1190
chang qi 	長期	c=1 d=1 t=976
chang sha 	長沙	c=2 d=1.88692 t=7193
chang yong 	常用	c=1 d=1 t=3752
chao 	吵	c=1 d=1 t=2285
chao 	潮	c=1 d=1 t=4881
chao guo 	超過	c=2 d=1 t=7858
chao nao 	吵鬧	c=1 d=1 t=7342
chao shi 	超市	c=1 d=1 t=7278
che 	車	c=5 d=1.0002 t=9181
che cheng 	車程	c=1 d=1 t=7480
che liang 	車輛	c=1 d=1 t=2778
che lun 	車輪	c=1 d=1 t=2182
che zhan 	車戰	c=1 d=1 t=9358
chen 	臣	c=5 d=1.79057 t=7173
chen 	陳	c=14 d=1.19768 t=9040
cheng 	城	c=1 d=1 t=1193
cheng 	成	c=29 d=1.64191 t=6632
cheng gong 	成功	c=4 d=1.98511 t=7621
cheng hu 	稱呼	c=1 d=1 t=5928
cheng li 	成立	c=3 d=2.92688 t=748
cheng shou 	承受	c=1 d=1 t=7455
cheng xu 	程序	c=3 d=2.80087 t=2431
cheng xu yuan 	程序員	c=1 d=1 t=663
chi 	喫	c=2 d=1 t=8791
chi fan 	喫飯	c=1 d=1 t=9065
chi gua 	喫瓜	c=4 d=1.32142 t=6447
chong 	重	c=1 d=1 t=5751
chong dian 	充電	c=2 d=1.95123 t=2172
chong gou 	重構	c=1 d=1 t=4204
chong qi 	重啓	c=1 d=1 t=2191
chong tu 	衝突	c=4 d=1 t=8927
chong xie 	重寫	c=1 d=1 t=4220
chong xin 	重新	c=1 d=1 t=8884
chou 	醜	c=1 d=1 t=7043
chou shui ji 	抽水機	c=3 d=2.82387 t=2764
chu 	出	c=7 d=1.9134 t=7754
chu 	楚	c=1 d=1 t=4623
chu 	處	c=2 d=1.98511 t=6667
chu ban 	出版	c=1 d=1 t=3644
chu fa 	出發	c=1 d=1 t=7463
chu fa 	觸發	c=2 d=1.97045 t=9581
chu fei 	除非	c=1 d=1 t=980
chu han 	楚漢	c=1 d=1 t=7153
chu kou 	出口	c=10 d=3.9562 t=5531
chu lai 	出來	c=5 d=1.89896 t=8565
chu le 	除了	c=1 d=1 t=4088
chu li 	處理	c=21 d=2.61362 t=4502
chu qu 	出去	c=4 d=1.0084 t=9241
chu qu 	除去	c=3 d=1.00923 t=9240
chu sheng 	出生	c=2 d=1.93239 t=1915
chu shi 	廚師	c=3 d=1.79057 t=9115
chu xian 	出現	c=1 d=1 t=1616
chu xing 	出行	c=2 d=1.95123 t=6736
chu zhuang wang 	楚莊王	c=2 d=1.91393 t=99
chu zu 	出租	c=2 d=1.00058 t=8271
chuai 	揣	c=1 d=1 t=7142
chuan 	遄	c=1 d=1 t=7144
chuan ze 	川澤	c=1 d=1 t=330
chuang jian 	創建	c=4 d=2.94111 t=9540
chuang kou 	窗口	c=1 d=1 t=3914
chun 	春	c=1 d=1 t=4722
chun qiu 	春秋	c=9 d=1.15648 t=9357
chun zheng 	純正	c=1 d=1 t=9149
ci 	次	c=1 d=1 t=8184
ci 	此	c=1 d=1 t=9336
ci 	辭	c=1 d=1 t=4298
ci dian 	詞典	c=2 d=1.00012 t=2132
ci he 	慈和	c=2 d=1.99501 t=4634
ci sha 	刺殺	c=3 d=2.9362 t=4597
cong 	從	c=12 d=1.01264 t=8735
cong tu 	從圖	c=1 d=1 t=4962
cui 	催	c=1 d=1 t=4066
cun 	存	c=1 d=1 t=4646
cun wang 	存亡	c=1 d=1 t=4683
cuo 	錯	c=2 d=1.00013 t=4410
cuo le 	錯了	c=1 d=1 t=9621
cuo wu 	錯誤	c=1 d=1 t=9608
da 	大	c=6 d=1.00223 t=9349
da 	打	c=9 d=1.18771 t=6495
da 	達	c=2 d=1.86936 t=6984
da an 	大案	c=1 d=1 t=2601
da bao 	打包	c=2 d=1 t=8591
da bing 	大餅	c=1 d=1 t=2710
da bu fen 	大部分	c=1 d=1 t=7859
da dao 	達到	c=1 d=1 t=8853
da fo 	大佛	c=1 d=1 t=2325
da gai 	大概	c=2 d=1.0001 t=2293
da ge 	打個	c=1 d=1 t=7491
da guo 	大國	c=2 d=1 t=8950
da kai 	打開	c=1 d=1 t=4751
da mi 	大米	c=1 d=1 t=2800
da mo xing 	大模型	c=1 d=1 t=3813
da pei 	搭配	c=1 d=1 t=9189
da pei wo men 	搭配我們	c=1 d=1 t=3653
da qi lai 	打起來	c=1 d=1 t=8399
da qian 	大錢	c=3 d=1 t=8007
da qian 	打錢	c=3 d=1.00893 t=6484
da ren 	大人	c=1 d=1 t=3238
da suan 	打算	c=2 d=1.43823 t=753
da ting 	大廳	c=1 d=1 t=6872
da ting 	打聽	c=2 d=1.59156 t=6978
da xie 	大寫	c=1 d=1 t=2868
da xue 	大學	c=1 d=1 t=9158
da yin 	打印	c=4 d=2.07721 t=8772
da zhang 	打仗	c=2 d=1 t=9437
dai 	代	c=4 d=1.01671 t=9438
dai 	帶	c=6 d=1 t=7309
dai 	待	c=1 d=1 t=7131
dai huo 	帶貨	c=1 d=1 t=1150
dai kuan 	貸款	c=1 d=1 t=8451
dai ma 	代碼	c=3 d=2.87528 t=4188
dai ren 	待人	c=1 d=1 t=6340
dan 	但	c=10 d=1.00109 t=9611
dan 	單	c=2 d=1 t=8485
dan ci 	單詞	c=1 d=1 t=5690
dan du 	單獨	c=1 d=1 t=3091
dan shi 	但是	c=3 d=1.00012 t=7937
dang 	當	c=1 d=1 t=8106
dao 	到	c=28 d=1.08101 t=9291
dao 	悼	c=2 d=1.25158 t=2552
dao 	盜	c=2 d=1.38674 t=1390
dao 	道	c=13 d=3.88779 t=8652
dao chu 	導出	c=1 d=1 t=4754
dao de jing 	道德經	c=3 d=2.96042 t=4952
dao lu 	道路	c=1 d=1 t=6076
dao qi 	到期	c=1 d=1 t=8860
dao shi hou 	到時候	c=3 d=1.21119 t=5457
dao shu 	道術	c=1 d=1 t=4687
de 	地	c=4 d=1 t=7681
de 	得	c=2 d=1.00823 t=5007
de 	德	c=17 d=1.00134 t=8415
de 	的	c=497 d=11.3787 t=9619
de o 	的哦	c=1 d=1 t=1101
deng 	等	c=15 d=1.61207 t=9321
deng dai 	等待	c=1 d=1 t=7032
deng deng 	等等	c=1 d=1 t=9109
deng ji biao 	登記表	c=2 d=1.69073 t=3067
deng xia 	燈下	c=4 d=1.00179 t=8529
deng xia 	等下	c=3 d=1.00179 t=8530
deng yu 	等於	c=1 d=1 t=3504
di 	第	c=5 d=1 t=7898
di dian 	地點	c=1 d=1 t=6671
di fang 	地方	c=7 d=1.02765 t=9016
di guo 	帝國	c=16 d=1.32997 t=6445
di tu 	地圖	c=13 d=1.00142 t=8613
di yi bu 	第一步	c=1 d=1 t=275
di yi ci 	第一次	c=2 d=1.00771 t=8538
di yi hui 	第一回	c=1 d=1 t=3185
di yu 	地域	c=1 d=1 t=4343
di yu 	地獄	c=1 d=1 t=4344
di zhi 	地址	c=2 d=1.30728 t=6278
dian 	店	c=1 d=1 t=8767
dian 	點	c=5 d=1.02288 t=9203
dian chi 	電池	c=2 d=1.96079 t=2169
dian fei 	電費	c=3 d=1.22388 t=3431
dian hua 	電話	c=5 d=2.14589 t=6138
dian nao 	電腦	c=4 d=1 t=9410
dian shi ju 	電視劇	c=8 d=1.00097 t=4002
dian ying 	電影	c=19 d=1.02901 t=9390
dian yuan 	電源	c=3 d=2.98506 t=3511
diao 	掉	c=1 d=1 t=7697
diao yan 	調研	c=2 d=1.35523 t=6955
ding 	丁	c=2 d=1.86502 t=6987
ding 	定	c=5 d=2.55454 t=7190
ding 	釘	c=1 d=1 t=6862
ding shang 	盯上	c=1 d=1 t=8136
dong 	動	c=1 d=1 t=605
dong hua ban 	動畫版	c=1 d=1 t=6446
dong hua pian 	動畫片	c=1 d=1 t=8921
dong tai 	動態	c=2 d=1 t=3957
dong zhou 	東周	c=1 d=1 t=9345
dong zuo 	動作	c=1 d=1 t=691
dou 	都	c=26 d=1.93891 t=8788
dou ban 	豆瓣	c=3 d=1.06781 t=4596
dou shan 	斗山	c=2 d=1.71892 t=8407
dou shi 	都是	c=6 d=1.00057 t=8408
dou yin 	抖音	c=1 d=1 t=7387
dou zai 	都在	c=1 d=1 t=8696
du 	度	c=1 d=1 t=8726
du 	篤	c=2 d=1 t=3685
du 	讀	c=1 d=1 t=2884
du 	都	c=2 d=1.82283 t=3242
du shu 	度數	c=1 d=1 t=382
du shu 	讀書	c=1 d=1 t=3183
du yi ba 	賭一把	c=2 d=1.59452 t=8045
duan 	段	c=1 d=1 t=1039
duan 	端	c=1 d=1 t=321
duan lian 	鍛鍊	c=1 d=1 t=9220
duan xin 	短信	c=1 d=1 t=3009
dui 	對	c=9 d=1.00853 t=9245
dui bi 	對比	c=5 d=1.11672 t=4713
dui bu shang 	對不上	c=1 d=1 t=2749
dui fang 	對方	c=2 d=1.29671 t=4851
dui hua 	對話	c=1 d=1 t=1189
dui jie 	對接	c=1 d=1 t=4545
dui mian 	對面	c=2 d=1 t=9442
dui you 	隊友	c=1 d=1 t=4129
dui yu 	對於	c=1 d=1 t=4164
dui zai 	堆在	c=1 d=1 t=648
dun 	噸	c=12 d=2.80025 t=6997
dun du 	惇篤	c=1 d=1 t=723
duo 	多	c=19 d=1.00004 t=9101
duo duo 	多多	c=4 d=1.49571 t=5214
duo ge 	多個	c=1 d=1 t=2770
duo jiu 	多久	c=1 d=1 t=9288
duo shao 	多少	c=11 d=1.65705 t=9281
duo shao qian 	多少錢	c=2 d=1 t=8758
duo shu 	多數	c=2 d=1.02086 t=6686
duo yuan 	多元	c=1 d=1 t=3253
e 	惡	c=7 d=1.00062 t=8667
e 	額	c=1 d=1 t=312
e pian 	萼片	c=1 d=1 t=7238
en 	嗯	c=3 d=1 t=4472
er 	二	c=12 d=1.01926 t=7899
er 	爾	c=2 d=1.86936 t=6985
er 	而	c=38 d=2.10245 t=9340
er he yi 	二合一	c=1 d=1 t=6864
er nian 	二年	c=1 d=1 t=5085
er qie 	而且	c=2 d=1 t=7644
er shi 	二十	c=21 d=2.84003 t=7093
